'time', 'CO2'
2200.26, 9.742793
2200.76, 9.749707
2201.26, 9.750723
2201.76, 9.813717
2202.26, 9.912416
2202.76, 9.851756
2203.26, 9.787535
2203.76, 9.820568
2204.26, 9.827573
2204.76, 9.905410
2205.26, 9.881626
2205.76, 9.852588
2206.26, 9.836085
2206.76, 9.903073
2207.26, 9.903441
2207.76, 9.851664
2208.26, 9.985519
2208.76, 9.758681
2209.26, 9.857318
2209.76, 9.880459
2210.26, 9.868045
2210.76, 9.901538
2211.26, 9.956573
2211.76, 9.845796
2212.26, 10.027155
2212.76, 9.987761
2213.26, 9.827606
2213.76, 10.038158
2214.26, 9.893119
2214.76, 9.988869
2215.26, 9.958569
2215.76, 10.074323
2216.26, 9.885005
2216.76, 9.973780
2217.26, 10.056440
2217.76, 9.969171
2218.26, 10.084495
2218.76, 9.860731
2219.26, 10.038924
2219.76, 10.015356
2220.26, 10.149701
2220.76, 10.042212
2221.26, 10.059944
2221.76, 9.933617
2222.26, 10.068978
2222.76, 10.065690
2223.26, 10.035821
2223.76, 10.047622
2224.26, 10.017355
2224.76, 10.131541
2225.26, 10.060835
2225.76, 10.154925
2226.26, 10.138577
2226.76, 9.999468
2227.26, 10.205812
2227.76, 10.184210
2228.26, 9.900095
2228.76, 10.120295
2229.26, 10.092670
2229.76, 10.035482
2230.26, 10.131571
2230.76, 10.108250
2231.26, 10.168322
2231.76, 10.175574
2232.26, 10.116268
2232.76, 10.062525
2233.26, 10.186912
2233.76, 10.247632
2234.26, 10.203507
2234.76, 10.204612
2235.26, 10.112675
2235.76, 10.118635
2236.26, 10.177480
2236.76, 10.016892
2237.26, 10.096632
2237.76, 10.189342
2238.26, 10.204181
2238.76, 10.167431
2239.26, 10.182550
2239.76, 10.242470
2240.26, 10.153725
2240.76, 10.207715
2241.26, 10.051492
2241.76, 10.222436
2242.26, 10.145707
2242.76, 10.173976
2243.26, 10.185683
2243.76, 10.099459
2244.26, 10.193244
2244.76, 10.147643
2245.26, 10.143801
2245.76, 10.149978
2246.26, 10.167184
2246.76, 10.061265
2247.26, 10.093253
2247.76, 10.064737
2248.26, 10.101090
2248.76, 10.010655
2249.26, 10.165494
2249.76, 10.161533
2250.26, 10.075306
2250.76, 10.193336
2251.26, 10.114148
2251.76, 10.216996
2252.26, 10.153081
2252.76, 10.105607
2253.26, 10.161776
2253.76, 10.071989
2254.26, 10.130618
2254.76, 10.231253
2255.26, 10.175975
2255.76, 10.224863
2256.26, 10.264841
2256.76, 10.156309
2257.26, 10.179877
2257.76, 10.217518
2258.26, 10.175666
2258.76, 10.305803
2259.26, 10.144017
2259.76, 10.238538
2260.26, 10.222374
2260.76, 10.264227
2261.26, 10.241948
2261.76, 10.218409
2262.26, 10.190048
2262.76, 10.144570
2263.26, 10.203445
2263.76, 10.238538
2264.26, 10.228426
2264.76, 10.255807
2265.26, 10.294862
2265.76, 10.214109
2266.26, 10.226339
2266.76, 10.223051
2267.26, 10.096510
2267.76, 10.356505
2268.26, 10.123612
2268.76, 10.236079
2269.26, 10.157351
2269.76, 10.301194
2270.26, 10.143370
2270.76, 10.256882
2271.26, 10.226062
2271.76, 10.217305
2272.26, 10.295878
2272.76, 10.277100
2273.26, 10.229041
2273.76, 10.242592
2274.26, 10.281282
2274.76, 10.246711
2275.26, 10.264996
2275.76, 10.178125
2276.26, 10.203445
2276.76, 10.198191
2277.26, 10.084156
2277.76, 10.220069
2278.26, 10.215582
2278.76, 10.124536
2279.26, 10.231809
2279.76, 10.202676
2280.26, 10.248710
2280.76, 10.163837
2281.26, 10.277685
2281.76, 10.212048
2282.26, 10.269940
2282.76, 10.197945
2283.26, 10.382592
2283.76, 10.029706
2284.26, 10.226062
2284.76, 10.227229
2285.26, 10.168446
2285.76, 10.282173
2286.26, 10.286874
2286.76, 10.090119
2287.26, 10.260107
2287.76, 10.284385
2288.26, 10.292436
2288.76, 10.246004
2289.26, 10.277656
2289.76, 10.066519
2290.26, 10.350174
2290.76, 10.274520
2291.26, 10.281926
2291.76, 10.261061
2292.26, 10.292558
2292.76, 10.278330
2293.26, 10.324545
2293.76, 10.245205
2294.26, 10.228797
2294.76, 10.344214
2295.26, 10.208639
2295.76, 10.223235
2296.26, 10.270219
